Calender_Year_Year End,Name,Ticker,Primary_Prospectus_Benchmark,#_of_Holdings,Turnover_Ratio,Total_Market_Value,P_B,P_C,P_E,P_S,Debt_to_Capital,Net_Margin,ROA,ROE,Equity_Style_Factor_P_E,Equity_Style_Factor_P_B,Equity_Style_Factor_P_S,Equity_Style_Factor_P_C,Equity_Style_Factor_Div_Yld,Equity_Style_Factor_LT_Earn_Growth,Equity_Style_Factor_Hist_Earn_Growth,Equity_Style_Factor_BV_Growth,Equity_Style_Factor_Sales_Growth,Equity_Style_Factor_CF_Growth,1Yr_Return,1Yr_Return_BM
2005,STAAR International,SITIX,MSCI EAFE NR USD,17,16,"4,758,135",2.61,8.51,15,1.11,3.98,12.48,7.3,18.06,13.53,2,1.01,5.1,2.72,12.59,18.78,-7.83,6.66,-14.86,21.38,26.34
2005,Hartford Schroders International Stk I,SCIEX,MSCI EAFE NR USD,50,126,"7,173,207",3.76,11.13,16.41,1.5,2.75,11.94,6.51,17.62,16.6,2.56,1.46,11.52,3.81,13.09,22.45,3.97,1.73,1.48,24.46,26.34
2005,Sextant International,SSIFX,MSCI EAFE NR USD,59,5,"7,208,690",2.48,9.48,18.89,1.68,22.32,12.47,8.39,17.74,16.89,2.22,2.42,7.55,1.55,10.45,18.01,7.51,7,16.96,22.02,26.34
2005,Sit International Growth,SNGRX,MSCI EAFE NR USD,93,28,"31,827,776",1.48,5.23,21.07,0.3,7.24,11,7.46,17.58,17.36,2.38,1.41,10.62,1.79,13.2,22.26,6.14,5.39,10.78,18.19,26.34
2005,Cambiar International Equity Inv,CAMIX,MSCI EAFE NR USD,40,63,"32,780,427",2.64,7.72,13.85,0.98,7.01,7.82,5.19,16.86,13.32,1.87,0.92,5.89,2.2,10.73,12.12,3.26,-4.04,5.15,29.04,26.34
2005,GAMCO International Growth AAA,GIGRX,MSCI EAFE NR USD,66,19,"59,501,490",3.48,10.87,18.95,1.48,2.54,9.86,7.43,19.07,18.18,2.64,1.52,9.35,2.33,11.42,14.55,1.96,5.36,12.5,21.18,26.34
2005,Transamerica International Equity I,TSWIX,MSCI EAFE NR USD,57,22,"64,911,603",3.12,10.33,16.24,1.17,4.43,9.88,6.46,18.91,14.17,2.36,1.13,8.26,2.52,11.07,23.99,7.24,-0.86,12.52,27.94,26.34
2005,Ivy International Core Equity A,IVIAX,MSCI EAFE NR USD,86,106,"69,475,399",2.76,8.98,16.56,1.31,2.97,11.13,4.8,17.64,14.49,2.19,1.16,5.25,1.64,12.61,19.83,3.48,3.99,10.14,26.13,26.34
2005,Madison International Stock A,MINAX,MSCI EAFE NR USD,231,64,"75,521,653",3.2,8.76,16.06,1.25,3.13,11.13,6.5,19.72,15.37,2.36,1.23,6.55,2.76,11.31,14.6,3.46,3.53,7.89,23.68,26.34
2005,Federated International Leaders A,FGFAX,MSCI EAFE NR USD,53,28,"98,395,648",2.92,12.3,17.22,1.66,3.89,12.37,5.96,16.37,17.31,2.39,1.55,11.55,2.54,10.72,12.93,2.61,2.06,2.57,27.68,26.34
2005,JPMorgan Intrepid International A,JFTAX,MSCI EAFE NR USD,208,56,"109,725,987",2.85,9.18,15.4,1.13,1.98,12.71,5.83,17.44,13.71,2.05,1.07,7.53,2.48,10.66,23.15,5.33,-0.13,9.16,25.57,26.34
2005,Sentinel International Equity A,SWRLX,MSCI EAFE NR USD,77,23,"132,817,425",2.87,9.65,15.98,1.48,4.55,11.74,6.94,16.59,15.83,2.1,1.44,6.78,2.58,9.83,19.94,4.85,3.18,9.89,24.17,26.34
2005,JPMorgan International Opportunities I,JIOSX,MSCI EAFE NR USD,84,58,"146,876,304",3.46,9.69,16.46,1.27,1.9,12.72,6.6,19.09,14.44,2.36,1.22,9.27,2.74,11.81,16.02,0.87,-5.28,0.26,29.03,26.34
2005,Pioneer International Equity A,PIIFX,MSCI EAFE NR USD,113,111,"151,769,691",3.39,9.89,17.57,1.09,2.87,9.36,5.85,18.15,14.97,2.31,1.01,7.31,2.26,12.37,16.69,3.82,4.57,7.23,22.12,26.34
2005,Neuberger Berman International Eq Instl,NBIIX,MSCI EAFE NR USD,97,14,"172,698,232",3.32,10.16,15.48,1.39,3.47,13.6,8.39,23.05,14.99,2.36,1.21,11.09,1.84,11.29,14.68,10.16,13.12,1.57,23.22,26.34
2005,Nationwide Bailard Intl Eqs M,NWHLX,MSCI EAFE NR USD,370,74,"177,388,516",2.65,8.76,15.42,1,2.56,10.63,5.41,16.64,12.43,1.92,0.92,6.7,2.31,12.97,21.66,4.56,2.36,7.34,27.25,26.34
2005,MainStay Epoch International Choice I,ICEUX,MSCI EAFE NR USD,38,139,"180,558,728",2.35,10.45,17.19,1.57,10.35,14.55,6.52,13.43,17.19,2.01,2.12,7.36,2.17,10.74,24.67,5.09,1.6,14.28,24.3,26.34
2005,Invesco Pacific Growth B,TGRBX,MSCI EAFE NR USD,213,25,"197,487,485",2.07,10.25,19.19,0.95,0.82,9.93,6.16,13.75,18.14,1.79,0.89,8.73,1.85,12.92,18.31,5.36,2.7,2.26,21.35,26.34
2005,VALIC Company I International Growth,VCINX,MSCI EAFE NR USD,102,94,"206,587,669",3.81,11.86,18.71,1.42,3.28,11.1,6.89,19.86,17.53,2.96,1.38,9.92,2.57,13.7,17.85,5.98,3.41,6.87,26.37,26.34
2005,Dreyfus International Stock Index Inv,DIISX,MSCI EAFE NR USD,"1,145",3,"230,482,746",3.05,9.29,16.83,1.16,1.91,10.91,5.37,17.16,15.13,2.24,1.15,7.96,2.72,11.23,14.95,3.09,1.7,3.25,25.71,26.34
2005,Target International Equity Z,TAIEX,MSCI EAFE NR USD,202,123,"234,363,259",2.74,8.22,15.54,0.99,4.64,9.96,5.22,17.05,13.84,2.01,1,6.79,2.54,10.17,16.13,5.39,3.13,5.8,29.02,26.34
2005,Tocqueville International Value,TIVFX,MSCI EAFE NR USD,55,35,"237,088,104",2.24,8.7,18.69,0.81,7.14,6.66,6.05,14.13,19.73,1.78,0.77,5.09,2.08,10.88,-1.77,3.34,7.59,3.82,16.97,26.34
2005,Great-West MFS International Gr Init,MXIGX,MSCI EAFE NR USD,69,49,"238,352,055",4.37,12.81,18.18,1.55,2.13,11.13,7.58,20.26,16.61,2.91,1.41,11.51,2.27,12.76,18.43,6.53,7.57,10.07,27.67,26.34
2005,McKee International Equity Instl,MKIEX,MSCI EAFE NR USD,71,27,"244,081,053",2.82,9.27,15.28,1.12,2.47,11.15,5.93,15.74,14.66,1.98,1.06,7.83,2.6,10.64,22.05,4.92,2.78,7.34,25.35,26.34
2005,QS International Equity C,LMGEX,MSCI EAFE NR USD,206,118,"280,957,146",3.24,9.85,16.95,0.97,2.3,9,4.73,16.88,14.55,2.37,0.93,7.53,2.14,12.11,18.04,5.03,1.28,5.73,26.39,26.34
2005,TIAA-CREF International Eq Idx Instl,TCIEX,MSCI EAFE NR USD,"1,170",32,"286,756,500",2.95,9.34,16.82,1.17,2.28,10.57,5.3,17.21,15.14,2.26,1.17,8.05,2.71,11.29,15.27,3.64,1.37,4.2,26.21,26.34
2005,Elfun International Equity,EGLBX,MSCI EAFE NR USD,102,42,"286,823,126",3.36,11.48,18.11,1.5,3.32,11.78,6.8,18.8,16.28,2.64,1.51,9.24,2.1,13.55,21.95,3.92,2.57,9.89,26.02,26.34
2005,Nuveen NWQ International Value I,NGRRX,MSCI EAFE NR USD,55,24,"302,598,748",1.81,7.03,15.65,1.13,13.17,10.74,6.07,11.24,17.19,1.94,0.97,4.06,2.35,8.43,11.61,0.01,10.33,8.1,18.18,26.34
2005,Invesco Intl Core Equity Investor,IIBCX,MSCI EAFE NR USD,79,21,"306,543,456",2.42,8.07,15.89,1.24,6.34,11.96,7.24,16.77,15.2,1.83,1.22,5.98,2.69,8.48,14.85,4.49,4.79,5.69,24.47,26.34
2005,Marsico International Opportunities,MIOFX,MSCI EAFE NR USD,58,156,"313,565,052",4.03,12.81,20.92,1.56,10.57,10.7,5.82,17.79,19.66,3,1.22,8.5,1.26,15.31,24.15,6.78,5.4,15.22,23.95,26.34
2005,BNY Mellon Intl Appreciation M,MPPMX,MSCI EAFE NR USD,246,11,"320,260,762",2.22,,18.06,1.1,,10.06,7.78,14.86,13.97,2.16,1.16,3.52,2.57,13.22,18.17,-1.1,-3.26,-24.12,24.68,26.34
2005,Great-West MFS International Value Init,MXIVX,MSCI EAFE NR USD,56,106,"330,459,011",2.58,7.21,11.55,0.94,1.71,8.76,4.6,16.49,10.29,1.82,0.96,5.68,2.78,9.05,23.2,3.96,1.52,12.4,35.84,26.34
