Ticker,Name,Inception_Date,Index_Fund,Global_Category,#_of_Stock_Holdings,Total_Market_Value,Average_Market Cap_(mil),P_B_Ratio_(TTM),P_C_Ratio_(TTM),P_E_Ratio_(TTM),P_S_Ratio_(TTM),Debt_to_Capital_%_(trailing),Net_Margin_%_(trailing),ROA_%_(TTM),ROE_%_(TTM),P_FCF_Ratio_(TTM),ROIC_(TTM),Equity_Style_Factor_P_E,Equity_Style_Factor_P_B,Equity_Style_Factor_P_S,Equity_Style_Factor_P_C,Equity_Style_Factor_Div_Yld,Equity_Style_Factor_LT_Earn_Growth,Equity_Style_Factor_Hist_Earn_Growth,Equity_Style_Factor_BV_Growth,Equity_Style_Factor_Sales_Growth,Equity_Style_Factor_CF_Growth
AACIX,American Beacon Mid Cap Value Instl,11/30/2005,No,US Equity Mid Cap,,,,,,,,,,,,,,,,,,,,,,,
AADDX,Alpine Rising Dividend Instl,11/5/2008,No,US Equity Large Cap Blend,61.00,2280457.00,16273.64,2.04,9.88,17.41,1.43,33.92,11.78,7.25,15.52,20.95,11.11,15.54,1.85,1.13,6.09,2.75,9.71,0.10,-4.66,3.12,7.98
AADEX,American Beacon Large Cap Value Instl,7/17/1987,No,US Equity Large Cap Value,,,,,,,,,,,,,,,,,,,,,,,
AAGOX,Alger Large Cap Growth I-2,1/6/1989,No,US Equity Large Cap Growth,96.00,359654095.00,52411.45,2.73,11.31,20.03,1.48,30.29,11.56,7.92,18.21,17.93,14.63,15.66,2.53,1.23,7.13,1.85,11.16,3.90,4.38,10.73,10.97
AAIEX,American Beacon International Eq Instl,8/7/1991,No,Global Equity Large Cap,,,,,,,,,,,,,,,,,,,,,,,
AALGX,Thrivent Large Cap Stock A,7/16/1987,No,Global Equity,175.00,2027107922.00,35178.92,2.13,8.67,19.63,1.23,35.23,5.51,3.42,9.09,14.49,10.02,14.81,1.92,0.97,6.24,2.15,10.10,4.13,-2.33,7.38,9.72
AAMOX,Alger SMid Cap Growth I-2,1/2/2008,No,US Equity Mid Cap,122.00,1476310.00,2338.01,2.28,11.44,21.21,1.34,32.54,4.42,3.19,6.33,22.47,4.28,18.47,1.89,1.08,6.67,0.93,13.91,10.89,5.47,9.38,18.21
AAPEX,Aberdeen Asia Pac ex-Japan Eq Instl Svc,11/16/2009,No,Asia ex-Japan Equity,43.00,1405701.00,18705.44,2.27,,16.07,1.70,,24.70,9.43,21.84,,25.05,15.67,2.36,1.86,4.54,3.53,9.35,-0.55,5.07,-12.82,22.88
AASCX,Thrivent Mid Cap Stock A,6/30/1993,No,US Equity Mid Cap,129.00,789186064.00,3709.76,1.94,7.29,17.54,1.07,34.39,3.60,1.07,7.38,13.35,3.87,16.04,1.80,0.84,5.32,2.09,11.55,-3.85,3.45,11.59,14.47
AASMX,Thrivent Small Cap Stock A,7/1/1996,No,US Equity Small Cap,246.00,314040520.00,1385.30,1.81,7.66,16.29,1.00,32.92,3.07,2.47,6.89,12.59,5.84,15.07,1.70,0.77,4.93,1.68,13.12,5.23,0.67,7.76,9.68
AASOX,Alger Small Cap Growth I-2,9/21/1988,No,US Equity Small Cap,121.00,382129072.00,1466.50,2.31,9.93,20.06,1.26,32.58,5.26,2.03,5.27,27.25,0.97,18.96,1.90,1.07,6.59,0.76,14.09,11.45,6.69,5.59,15.95
ABEMX,Aberdeen Emerging Markets Instl,5/11/2007,No,Emerging Markets Equity,51.00,1196835180.00,17319.62,2.76,9.73,14.99,1.66,24.85,19.09,10.39,21.10,,22.93,14.11,2.85,1.53,5.76,2.63,9.10,0.09,-1.29,-12.52,11.68
ABIYX,AB International Value Advisor,3/29/2001,No,Global Equity Large Cap,116.00,4236380950.00,34002.56,1.25,3.92,13.30,0.63,37.77,6.53,2.98,9.22,-40.49,6.80,11.64,1.18,0.54,2.69,5.59,8.39,-11.28,0.82,4.27,4.58
ABVYX,AB Value Advisor,3/29/2001,No,US Equity Large Cap Value,98.00,527693077.00,35081.01,1.48,5.82,16.73,0.75,42.10,1.90,-1.14,-1.01,13.14,5.58,12.24,1.48,0.57,3.96,3.19,8.14,-6.68,-7.70,5.27,1.06
ABYSX,AB Discovery Value Advisor,3/29/2001,No,US Equity Mid Cap,115.00,1029034806.00,2353.55,1.31,4.92,15.29,0.48,39.45,-2.76,-3.81,-6.04,12.28,-0.17,14.65,1.31,0.38,3.75,2.68,9.43,-6.81,-3.72,6.75,1.26
ACAPX,Alger Capital Appreciation B,11/1/1993,No,US Equity Large Cap Growth,99.00,798864000.00,25469.59,2.20,10.78,20.93,1.45,30.75,5.26,3.53,8.66,29.87,10.99,15.29,1.57,1.20,4.51,2.03,11.15,0.34,-0.32,4.95,11.51
ACEHX,Invesco Exchange,12/16/1976,No,US Equity Large Cap Value,30.00,62091045.00,41937.44,2.81,10.41,18.99,1.44,29.39,8.52,6.57,15.88,18.02,12.90,13.27,2.75,1.06,7.37,2.40,7.48,6.00,0.53,11.21,11.27
ACFFX,Columbia Acorn International Select Z,11/23/1998,No,Global Equity Large Cap,54.00,411508920.00,4203.03,2.68,11.38,16.55,1.50,,19.70,9.78,23.61,,19.60,16.43,1.80,0.87,9.95,2.25,12.56,13.56,-12.22,-17.98,-19.72
ACFSX,American Century Focused Dynamic Gr Inst,5/31/2006,No,US Equity Large Cap Growth,30.00,13656994.00,33930.12,3.24,10.77,15.22,1.84,31.24,15.94,10.12,26.50,12.11,23.55,13.24,3.74,1.55,9.09,3.01,9.93,13.79,2.16,12.89,10.39
ACGIX,Invesco Growth and Income A,8/1/1946,No,US Equity Large Cap Value,82.00,6385953393.00,40750.71,1.69,7.89,17.89,1.06,36.08,4.87,2.18,6.60,14.78,8.51,14.38,1.61,0.85,5.52,3.06,8.17,-7.22,-0.89,8.26,10.69
ACINX,Columbia Acorn International Z,9/23/1992,No,Global Equity Mid/Small Cap,183.00,4418131698.00,2466.85,2.22,8.76,15.37,1.12,,15.61,8.02,20.20,,18.00,15.99,1.71,0.94,4.95,2.71,10.93,-1.01,1.14,-12.11,-1.75
ACIUX,American Century Intl Core Equity I,11/30/2006,No,Global Equity Large Cap,217.00,5664386.00,18384.05,1.25,4.83,12.87,0.66,35.90,8.07,4.07,12.01,,,13.41,1.36,0.57,3.16,3.12,12.11,12.59,-15.53,-22.76,-16.57
ACLEX,American Century NT Equity Growth Instl,5/12/2006,No,US Equity Large Cap Blend,250.00,274661548.00,29664.24,2.07,7.75,16.27,1.00,32.35,8.18,5.39,13.23,12.04,14.29,13.87,2.07,0.78,5.16,2.39,9.62,1.19,0.24,11.28,15.31
ACLKX,American Century NT Emerging Mkts Instl,5/12/2006,No,Emerging Markets Equity,96.00,60383152.00,25256.26,2.63,7.97,7.81,1.51,25.41,15.26,8.55,17.71,,,14.01,2.17,1.37,5.19,1.48,13.00,212.67,-71.15,-71.10,-34.03
ACLLX,American Century NT Large Co Val Instl,5/12/2006,No,US Equity Large Cap Value,99.00,258472022.00,56038.77,1.73,7.15,16.43,1.05,37.96,5.86,3.38,9.19,13.84,10.12,12.36,1.71,0.80,5.45,3.30,8.01,-4.53,-2.77,10.26,12.26
ACLMX,American Century NT Mid Cap Value Instl,5/12/2006,No,US Equity Mid Cap,106.00,116678513.00,6550.09,1.70,7.28,17.13,1.12,38.59,6.01,2.58,11.08,16.55,6.12,13.96,1.54,0.97,7.10,3.10,8.67,0.87,3.97,6.13,3.66
ACLNX,American Century NT Intl Gr Instl,5/12/2006,No,Global Equity Large Cap,139.00,167748346.00,30703.65,1.71,7.81,16.39,1.11,34.29,9.63,5.62,14.91,,,15.51,1.62,0.77,4.82,2.69,13.00,653.11,-11.79,-19.38,-27.30
ACLOX,American Century NT Small Company Instl,5/12/2006,No,US Equity Small Cap,356.00,67763106.00,1084.01,1.76,5.92,15.92,0.77,29.95,4.99,2.94,9.02,10.61,7.11,15.72,1.72,0.61,4.28,1.61,12.84,11.71,3.02,9.26,19.93
ACLTX,American Century NT Growth Institutional,5/12/2006,No,US Equity Large Cap Growth,89.00,224726747.00,40141.82,3.49,11.63,21.87,1.47,31.57,11.89,8.12,19.40,15.21,15.25,17.55,3.55,1.20,7.26,1.94,11.69,4.95,5.24,11.84,11.64
ACLWX,American Century NT Heritage Institution,5/12/2006,No,US Equity Mid Cap,102.00,107716379.00,5737.96,3.05,10.94,22.55,1.48,36.18,0.59,0.43,6.95,45.62,7.59,19.50,2.60,1.14,4.52,0.99,13.97,-0.24,-2.14,5.64,2.01
ACMHX,American Century Adaptive All Cap Instl,5/31/2006,No,US Equity Mid Cap,83.00,22151623.00,4209.49,2.33,6.78,14.07,0.60,37.12,4.90,4.81,16.28,8.42,22.61,13.29,1.99,0.36,3.98,2.35,10.60,2.61,-10.50,-22.50,-44.28
ACMVX,American Century Mid Cap Value Inv,3/31/2004,No,US Equity Mid Cap,106.00,508946825.00,6543.25,1.70,7.28,17.12,1.12,38.62,6.02,2.58,11.10,16.54,6.13,13.95,1.54,0.97,7.10,3.10,8.68,0.85,3.93,6.14,3.66
ACRNX,Columbia Acorn Z,6/10/1970,No,US Equity Mid Cap,350.00,14781592364.00,2376.53,2.39,9.58,22.06,1.43,33.48,5.81,3.75,8.31,37.12,7.97,19.88,2.04,1.15,6.76,1.34,13.82,2.51,-1.23,4.31,7.12
ACSTX,Invesco Comstock A,10/7/1968,No,US Equity Large Cap Value,79.00,8400658322.00,45387.61,1.68,7.10,15.27,0.95,38.54,4.32,3.12,9.05,12.85,11.62,13.00,1.66,0.79,5.24,3.09,8.34,-8.10,-2.65,8.58,9.42
ACTIX,American Century Capital Val Inv,3/31/1999,No,US Equity Large Cap Value,101.00,174771383.00,55372.18,1.73,7.17,16.35,1.05,38.40,5.84,3.54,9.82,13.80,10.64,12.34,1.71,0.80,5.48,3.41,8.03,-4.99,-3.13,9.89,11.24
ACTWX,Columbia Acorn Select Z,11/23/1998,No,US Equity Mid Cap,51.00,1948806471.00,2614.46,1.74,7.46,17.98,0.73,39.04,0.42,4.10,4.16,-18.07,10.59,17.49,1.86,0.60,4.25,1.35,12.17,3.98,-18.62,-11.99,-11.21
ADCIX,American Century Disciplined Growth I,9/30/2005,No,US Equity Large Cap Growth,153.00,16704401.00,28950.34,3.92,9.57,20.73,1.45,31.78,10.82,9.27,22.66,12.05,18.59,16.31,3.98,1.12,6.26,1.58,11.85,8.84,1.16,10.93,18.93
ADFSX,Alpine Financial Services Institutional,11/1/2005,No,Financials Sector Equity,75.00,8440185.00,413.61,0.74,,,0.91,31.12,-3.71,-1.39,-6.01,,,18.80,0.49,0.70,1.84,6.06,13.00,-19.66,-5.06,-0.61,
ADGAX,AB Core Opportunities A,12/22/1999,No,US Equity Large Cap Growth,63.00,120563423.00,17571.36,2.00,7.49,14.61,0.87,30.75,8.72,6.76,17.14,11.84,14.64,12.91,1.98,0.68,5.13,1.70,9.88,7.19,2.95,13.50,16.70
ADINX,Alpine Small Cap Inst,7/11/2006,No,US Equity Small Cap,47.00,13736198.00,3514.66,2.67,13.65,25.59,2.08,20.41,8.49,6.49,11.80,21.61,10.20,20.73,2.16,1.59,10.98,1.39,15.08,6.86,13.32,12.87,9.15
ADJEX,Azzad Ethical,12/22/2000,No,US Equity Mid Cap,47.00,9133640.00,8521.99,2.73,11.74,21.18,1.89,22.89,6.21,6.31,12.66,19.94,12.43,16.85,2.42,1.10,4.82,0.96,11.54,25.91,10.72,18.79,20.83
ADKSX,Adirondack Small Cap,4/6/2005,No,US Equity Small Cap,59.00,11638881.00,700.23,1.02,8.05,15.22,0.63,26.75,-4.33,-4.40,-4.15,15.84,-2.58,14.67,1.14,0.42,2.37,1.14,10.77,-16.73,-17.14,-6.70,5.30
ADVDX,Alpine Dynamic Dividend Institutional,9/22/2003,No,Global Equity,94.00,649249467.00,12781.49,2.16,0.45,18.71,0.12,35.91,8.59,5.80,14.93,23.39,12.42,15.09,1.86,1.11,6.52,2.55,11.56,-9.75,-0.83,-2.77,16.35
ADVGX,Advisory Research All Cap Value,11/16/2009,No,US Equity Large Cap Blend,,,,,,,,,,,,,,,,,,,,,,,
ADVWX,Advisory Research Global Value,12/31/2008,No,Global Equity Mid/Small Cap,,,,,,,,,,,,,,,,,,,,,,,
AEDAX,Invesco European Growth A,11/3/1997,No,Europe Equity Large Cap,69.00,895588674.00,10001.24,2.60,8.90,11.53,1.08,,11.40,8.02,21.31,,17.35,12.41,1.85,0.88,7.56,3.09,11.56,-1.29,0.99,-8.00,-22.17
AEMEX,Alpine Emerging Markets Rel Est Instl,11/3/2008,No,Real Estate Sector Equity,69.00,2236319.00,1067.40,0.95,,7.32,1.66,,20.33,-0.17,4.84,,,12.25,1.04,2.94,16.61,1.03,31.03,23.53,-60.15,-71.86,0.15
AEMGX,Acadian Emerging Markets Investor,6/17/1993,No,Emerging Markets Equity,,,,,,,,,,,,,,,,,,,,,,,
AEMIX,AllianzGI US Small-Cap Growth Instl,10/1/1993,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
AEPGX,American Funds Europacific Growth A,4/16/1984,No,Global Equity Large Cap,271.00,94853463612.00,39891.46,2.01,5.45,15.29,1.16,34.19,11.77,6.33,14.81,,11.66,14.41,1.53,0.86,3.83,3.73,8.45,-4.94,-0.09,3.98,17.32
AESGX,Voya Small Company I,1/4/1994,No,US Equity Small Cap,144.00,113701004.00,1339.37,1.77,8.19,17.48,1.11,32.95,4.61,2.26,6.32,15.16,4.57,16.30,1.65,0.89,6.52,2.36,11.79,2.70,2.36,6.57,4.24
AFDAX,American Century Sustainable Equity A,11/30/2004,No,US Equity Large Cap Blend,150.00,223963575.00,39959.15,2.23,7.42,17.10,1.14,36.18,9.89,5.67,15.66,15.57,13.27,13.83,2.28,0.89,4.34,2.51,9.69,4.61,0.08,10.23,17.54
AFGPX,Alger International Growth B,11/11/1986,No,Global Equity Large Cap,96.00,285153541.00,52448.47,2.73,11.32,20.03,1.48,30.27,11.56,7.92,18.21,17.92,14.63,15.66,2.53,1.24,7.14,1.85,11.15,3.85,4.37,10.71,10.87
AGAAX,Invesco Global Small & Mid Cap Gr A,9/15/1994,No,Global Equity Mid/Small Cap,107.00,645249327.00,4506.49,2.62,9.70,14.54,1.21,35.57,7.52,5.94,15.97,14.42,14.68,14.69,1.86,0.97,7.64,2.08,11.77,4.34,-3.37,-8.14,-11.62
AGBBX,AB Growth B,10/23/1987,No,US Equity Large Cap Growth,93.00,672900719.00,47758.60,3.08,12.26,21.34,1.56,26.66,12.18,7.66,17.76,16.06,14.33,16.93,3.04,1.26,9.45,1.72,11.74,6.52,6.19,13.56,13.56
AGGAX,Invesco Global Growth A,9/15/1994,No,Global Equity,89.00,251803319.00,40284.55,2.63,10.65,18.92,1.59,26.22,12.83,8.54,19.07,15.97,15.93,14.78,1.95,1.21,8.11,2.92,10.26,51.89,10.46,46.84,215.44
AGOCX,Prudential Jennison Equity Income C,12/31/1997,No,US Equity Large Cap Blend,67.00,164475216.00,8372.32,1.82,6.56,16.32,1.12,48.60,14.07,5.88,17.55,14.93,11.21,12.77,1.39,0.82,5.97,8.02,6.98,7.95,1.92,7.18,-1.07
AGTHX,American Funds Growth Fund of Amer A,11/30/1973,No,US Equity Large Cap Growth,274.00,148599276228.00,43912.92,2.42,9.01,20.42,1.65,31.49,9.80,6.03,14.60,18.69,13.81,16.05,2.26,1.39,7.65,2.07,11.11,-9.09,2.35,9.75,14.64
AHSAX,Alger Health Sciences A,5/1/2002,No,Healthcare Sector Equity,61.00,277570744.00,7808.46,2.62,11.34,19.27,1.45,30.93,7.34,3.77,7.14,21.18,-0.67,15.23,2.40,1.28,11.33,0.53,11.29,10.55,4.89,15.56,0.24
AIFRX,Alpine Global Infrastructure Instl,11/3/2008,No,Other Sector Equity,69.00,1806796.00,8642.60,1.67,6.90,13.45,1.09,50.44,11.33,4.24,12.70,26.70,8.65,15.16,1.86,0.81,5.77,2.93,8.65,-14.68,-23.41,-21.30,-47.89
AIGOX,Alger Growth & Income I-2,11/15/1988,No,US Equity Large Cap Blend,107.00,34533799.00,42372.13,2.23,9.47,17.75,1.29,35.30,9.51,6.30,15.33,21.37,13.27,14.35,2.09,1.05,6.17,2.49,9.48,-0.57,0.48,8.47,7.58
AIGYX,Alpine Realty Income & Growth Instl,12/29/1998,No,Real Estate Sector Equity,44.00,102385524.00,4207.82,1.56,,30.93,2.73,54.55,10.58,1.14,4.71,,,30.02,1.41,2.16,8.10,7.12,6.23,-17.14,-1.05,1.93,
AIIEX,Invesco International Growth A,4/7/1992,No,Global Equity Large Cap,81.00,3284492306.00,29315.01,2.52,9.27,16.97,1.44,31.50,12.87,8.62,20.16,17.14,15.36,14.75,1.64,1.09,6.84,3.00,11.21,46.07,8.64,8.82,191.25
AIMIX,Voya Mid Cap Research Enhanced Index I,2/3/1998,No,US Equity Mid Cap,251.00,154349977.00,2488.59,1.72,5.96,16.55,0.80,33.19,6.04,2.53,9.12,9.66,6.95,14.76,1.76,0.66,5.99,2.41,10.83,5.98,0.82,7.89,7.39
AIMOX,AQR International Momentum Style I,7/9/2009,No,Global Equity Large Cap,294.00,33075706.00,26434.22,1.62,2.08,14.73,0.59,,14.13,3.68,11.67,,8.46,15.62,1.37,0.90,2.68,3.58,7.19,7.37,2.04,0.32,-3.84
AIOIX,American Century International Opps Inv,6/1/2001,No,Global Equity Mid/Small Cap,129.00,97176473.00,1551.60,2.22,8.22,16.58,0.87,,8.40,4.77,12.77,,26.16,16.78,1.83,0.76,5.37,2.88,13.86,-14.62,-48.89,-55.31,-6.73
AIVSX,American Funds Invmt Co of Amer A,1/2/1934,No,US Equity Large Cap Blend,157.00,59291361258.00,58919.39,2.27,8.79,17.01,1.25,36.06,9.18,6.24,16.64,15.42,13.54,13.99,2.21,0.94,6.67,3.12,8.84,-1.95,-2.83,9.45,8.72
AKRIX,Akre Focus Instl,8/31/2009,No,US Equity Large Cap Growth,,,,,,,,,,,,,,,,,,,,,,,
