Ticker,Broker_Score_ct,Broker_Score_wtg,Benchmark,1_Yr_Return,3_Yr_Return,5_Yr_Return,7_Yr_Return,1_Yr_Return_BM,3_Yr_Return_BM,5_Yr_Return_BM,7_Yr_Return_BM,AUM,AUM_2016,Num_of_Holdings,Turnover_2005,Turnover_2004,Turnover_2003,3_yr_Turnover_Avg,Net_Expense_Ratio,Avg_Mkt_Cap_M,P_E,P_B,P_S,P_C,Debt_to_Capital,Net_Margin,ROA,ROE
AADIX,0,0,S&P500,17.91,-8.10,2.76,3.88,14.53,-8.13,2.26,4.08,245165645.00,1034344418.00,9.00,14.00,,,14.00,0.17,24386.36,19.33,2.97,1.49,11.47,18.30,12.68,8.72,16.98
ABALX,1914,1621,S&P500,11.12,-3.80,3.90,5.28,14.53,-8.13,2.26,4.08,46502248428.00,107778902524.00,963.00,35.00,25.00,41.00,33.67,0.17,65166.85,17.04,2.83,1.30,10.95,25.58,11.70,9.77,19.22
ADGAX,748,1575,S&P500,13.82,-7.99,1.83,4.13,14.53,-8.13,2.26,4.08,395608471.00,251495113.00,46.00,25.00,132.00,,78.50,0.62,43517.39,19.53,2.57,1.76,12.34,32.81,11.85,9.44,17.56
AFDAX,1432,1553,S&P500,19.17,-3.85,4.08,5.54,14.53,-8.13,2.26,4.08,4555408.00,220588904.00,94.00,101.00,,,101.00,1.19,41518.15,17.16,2.89,1.70,11.88,26.75,14.47,11.45,21.90
AGOCX,2074,1774,S&P500,16.17,-6.38,6.33,6.01,14.53,-8.13,2.26,4.08,73402177.00,2456431434.00,,66.00,,,66.00,2.16,,,,,,,,,
AGTHX,2929,1236,S&P500,12.27,-8.27,2.91,4.07,14.53,-8.13,2.26,4.08,121393532605.00,159407057560.00,505.00,20.00,19.00,25.00,21.33,2.15,32239.22,21.36,3.37,1.91,13.21,21.06,13.91,9.20,17.09
AHSAX,550,611,S&P500,9.66,-1.74,4.37,6.20,14.53,-8.13,2.26,4.08,126011702.00,128228693.00,83.00,128.00,202.79,,165.40,0.70,8753.20,29.76,4.35,1.81,17.90,24.10,9.82,3.53,11.36
AIGOX,889,1726,S&P500,8.66,-9.73,1.57,,14.53,-8.13,2.26,4.08,,36820945.00,56.00,104.00,96.49,276.00,158.83,0.75,58782.73,18.60,3.17,2.19,13.48,31.24,13.99,9.17,18.93
AIVSX,2572,1382,S&P500,15.96,-6.54,2.69,3.77,14.53,-8.13,2.26,4.08,75322114445.00,84414678836.00,393.00,96.49,19.00,27.00,47.50,0.78,53927.37,17.41,2.79,1.30,10.53,27.79,11.32,8.40,18.26
ALBAX,1002,1459,S&P500,4.83,-6.59,2.62,4.18,14.53,-8.13,2.26,4.08,78287664.00,109315333.00,138.00,19.00,,,19.00,0.57,31046.81,23.96,3.93,2.57,17.16,27.25,15.42,7.66,17.21
